Row # 	        A        	        B        	        C        	        D        	        E        	        F        	        G        	        H        	        I        	        J
1     	18.520078 	12.394022 	13.212534 	12.952735 	11.420260 	10.704329 	10.128763 	11.543165 	9.957545 	7.048132
2     	12.112300 	19.443541 	14.187755 	15.139648 	9.911950 	16.310199 	14.656387 	7.978522 	14.656694 	16.008073
3     	13.663874 	13.778262 	13.349916 	10.832668 	12.120706 	15.981707 	13.112816 	14.156062 	12.094178 	14.602350
4     	14.812756 	15.555547 	14.759686 	9.920442 	16.200656 	12.020843 	6.390720 	6.097991 	14.396723 	16.711319
5     	16.181470 	9.230554 	10.233583 	18.802767 	8.680356 	10.167677 	9.842656 	14.203929 	4.833029 	13.758482
6     	7.311533 	10.370473 	9.462128 	8.693339 	10.626483 	15.121802 	15.539177 	12.724610 	15.767992 	11.895420
7     	18.765468 	17.835951 	11.460387 	3.026756 	13.713869 	12.174294 	8.109676 	8.057133 	14.251309 	9.632838
8     	15.464801 	13.654028 	13.625077 	19.305943 	8.351095 	10.743172 	16.895868 	13.674299 	17.385027 	10.829879
9     	19.806692 	10.171052 	15.490165 	6.789441 	10.956182 	14.427080 	12.340911 	10.529956 	12.863348 	11.434065
10     	12.873737 	7.665582 	11.966520 	12.808996 	12.267892 	8.161236 	13.641253 	15.638793 	12.673571 	10.337452 
