Row # 	        A        	        B        	        C        	        D        	        E        	        F        	        G        	        H        	        I        	        J
1     	11.885700 	16.210118 	14.611306 	9.175607 	13.069342 	15.085566 	8.999450 	5.162107 	14.558418 	14.506370
2     	12.055700 	17.304892 	16.824553 	14.172336 	7.319585 	13.306042 	15.091492 	14.040700 	14.956214 	12.108095
3     	15.502075 	10.497501 	15.649599 	13.523666 	14.945434 	12.351669 	11.211508 	14.895543 	19.457037 	13.182534
4     	12.784899 	4.597519 	15.775486 	14.176669 	16.493336 	10.427013 	14.560103 	9.569938 	13.834668 	12.260574
5     	14.394755 	15.307591 	16.849101 	9.629836 	14.938542 	10.087694 	15.414973 	15.259585 	12.348270 	11.830053
6     	19.139172 	8.167844 	8.999459 	15.242502 	11.006582 	17.826538 	17.649958 	15.567376 	11.830352 	10.451749
7     	11.041190 	14.108159 	11.688802 	10.326150 	11.990404 	10.068467 	12.370656 	19.064710 	15.083528 	13.171920
8     	15.316662 	9.255759 	15.605300 	11.728785 	15.763969 	13.705759 	10.297974 	15.315408 	15.720473 	7.799073
9     	9.854436 	6.084122 	14.451870 	11.393036 	8.423502 	6.607549 	12.800333 	11.009412 	14.958923 	12.967977
10     	11.883626 	19.073825 	8.410652 	11.376288 	12.813767 	16.752320 	11.683241 	16.688626 	14.716231 	13.884251 
