Row,A,B,C,D,E,F,G,H,I,J
1,8.298074,17.728932,17.815034,9.913523,12.199602,16.814303,12.718286,10.400881,15.458437,15.165188
2,18.366330,21.229265,11.588845,10.861371,11.825485,17.666611,13.786362,9.970204,12.711894,13.087369
3,12.116588,9.915115,13.886879,9.867033,8.972376,13.898149,16.076501,8.249618,9.598075,14.309674
4,13.932404,17.704496,7.535874,14.603485,11.465785,14.915747,10.465434,9.738940,18.407686,9.406940
5,15.868689,15.047698,15.298051,7.391456,17.125891,13.700539,10.193593,11.513714,14.661104,8.187715
6,11.566844,6.157461,17.555148,10.385894,10.526819,14.325622,10.046880,14.353787,14.893392,10.865458
7,9.254165,12.314135,13.909824,10.258667,14.794603,10.691175,19.613535,12.005490,12.644248,18.409890
8,10.251137,9.429139,10.571346,9.788832,12.464340,9.422465,15.615409,16.070615,13.145516,13.544927
9,13.283295,14.221017,10.735878,9.678236,9.136879,13.892747,14.740046,13.424314,11.558053,15.483807
10,6.921487,16.634948,10.785493,9.316021,12.303133,9.055857,11.088778,15.946193,12.263977,10.993212
