Row,A,B,C,D,E,F,G,H,I,J
1,14.899836,16.184845,11.442907,14.388151,13.826081,17.674537,15.638182,10.776445,11.020902,10.651698
2,11.756790,10.500944,14.352153,14.261776,11.672938,14.061329,12.447667,11.250765,13.476719,9.198567
3,10.445452,9.212913,13.342147,11.749260,11.748271,12.538456,13.241453,13.967815,21.136657,14.704888
4,7.974134,12.877484,15.524472,11.939633,9.537483,5.628968,9.931966,11.290151,11.837883,14.073432
5,13.385623,12.589520,12.015947,18.145973,11.059097,13.518940,9.670504,12.413611,12.625775,16.111477
6,15.338435,13.678934,14.799489,11.974708,12.512216,9.431138,17.155987,13.280317,12.829666,12.877109
7,12.730393,14.939451,12.912143,16.694284,14.238306,13.966191,16.411648,12.526418,16.652965,13.899626
8,13.837096,12.469181,12.982124,11.918295,16.378547,11.774672,5.295836,12.459407,13.378737,14.331693
9,13.631471,10.235805,8.915714,8.262724,17.056046,10.943719,13.223710,9.560981,9.357215,15.496651
10,12.304617,10.388504,9.763102,12.090311,9.830821,11.411176,15.387070,8.557976,14.797874,14.391482
