Row # 	        A        	        B        	        C        	        D        	        E        	        F        	        G        	        H        	        I        	        J
1     	14.777879 	11.138555 	16.430393 	9.284969 	13.240521 	10.120453 	13.194829 	15.170612 	10.578981 	13.881317
2     	13.646919 	16.147292 	8.618530 	13.238105 	14.645044 	11.173232 	13.322746 	12.815413 	11.575313 	15.035795
3     	12.100528 	10.805314 	17.440732 	13.874101 	10.406381 	9.558436 	6.573274 	21.045217 	11.996415 	14.412426
4     	10.456217 	8.385800 	17.734410 	10.056294 	14.043851 	14.482920 	9.480082 	10.021411 	13.605721 	18.922654
5     	17.285472 	11.785980 	14.713994 	8.626424 	15.018045 	16.906176 	10.727909 	18.896847 	10.314356 	12.422752
6     	13.416533 	13.647673 	10.403730 	12.026221 	14.526816 	14.898799 	14.107395 	12.147735 	9.137833 	17.861696
7     	18.077380 	9.855652 	16.093479 	12.748376 	13.513735 	18.301430 	11.895302 	10.243640 	12.835848 	12.119280
8     	12.518784 	14.167502 	17.762306 	10.219703 	10.728370 	14.139531 	8.764027 	12.733857 	10.165839 	13.819258
9     	10.105959 	15.727371 	18.537783 	16.218695 	17.900474 	12.362356 	9.215973 	11.690839 	11.709737 	13.193694
10     	10.110770 	9.419932 	16.326403 	6.845453 	9.118360 	16.016339 	11.184228 	9.826704 	16.189869 	13.646499 
