Row # 	        A        	        B        	        C        	        D        	        E        	        F        	        G        	        H        	        I        	        J
1     	14.034918 	10.475382 	13.071808 	10.465682 	14.340364 	20.264105 	14.571225 	16.871939 	15.656906 	9.909823
2     	13.145849 	13.858082 	19.996382 	8.361547 	11.961568 	14.224271 	10.718145 	13.642440 	9.232141 	11.812624
3     	17.099977 	14.802832 	10.302079 	10.105930 	13.524373 	16.466214 	14.987899 	6.787985 	11.934159 	9.103927
4     	17.996306 	19.687427 	16.010254 	13.616740 	12.229071 	12.284625 	9.138211 	12.388235 	14.731276 	11.028314
5     	14.556300 	12.843719 	14.015690 	12.918671 	9.098138 	21.753010 	8.481456 	8.357412 	15.194631 	13.577126
6     	12.936328 	11.148893 	15.007447 	17.486729 	12.832170 	14.609380 	12.460618 	12.384065 	16.993219 	16.183145
7     	10.829358 	9.441186 	10.968074 	19.778858 	13.492728 	10.887141 	15.093503 	10.543849 	11.735598 	15.731379
8     	16.480497 	12.479924 	12.560122 	15.557369 	12.701279 	13.144245 	18.605519 	18.965067 	19.403058 	15.651106
9     	12.420897 	19.120359 	15.826661 	14.242835 	10.786467 	13.714544 	15.265980 	15.971900 	16.109066 	9.500528
10     	15.837995 	15.302755 	12.896598 	22.099747 	14.306161 	12.851959 	10.024559 	15.342526 	15.134708 	8.785832 
