Row,A,B,C,D,E,F,G,H,I,J
1,12.254826,12.460141,10.109007,12.656964,11.873156,16.986944,15.065630,15.917094,10.475771,17.072112
2,19.888018,17.935382,15.779183,13.892630,16.897499,13.444142,10.630851,16.628952,15.297522,14.397295
3,13.595391,12.537353,16.155189,9.701399,14.537581,14.096292,12.816079,12.853187,15.993172,13.342998
4,13.794628,14.162872,11.249388,10.296347,16.336267,10.155763,12.842507,12.000131,15.201965,11.308639
5,12.295305,10.746531,15.985766,8.198550,16.278131,11.232846,11.367749,14.351467,10.570298,9.656541
6,11.638509,8.588369,13.229133,11.105254,13.095732,16.579753,17.257949,5.969143,12.941244,15.712666
7,13.371700,18.514766,15.408607,14.315992,5.185612,10.814599,10.404175,9.511213,7.030539,9.765349
8,11.899915,13.309901,11.444285,15.093469,8.914835,17.230728,8.707529,11.476152,16.423134,12.595259
9,15.839751,10.277674,14.765345,14.776396,12.253309,11.952936,12.956834,15.615302,8.053918,10.662780
10,12.033811,15.677809,10.033126,12.557440,13.465341,12.568421,13.595872,15.881370,8.360057,9.016838
